id,original_sentence,transformed_sentence,relative_pronoun,number,model,size,model_and_size,N1,N2,exchanged_N2,masked_token,predicted_token,accuracy,was_position,were_position,was_position_interval,were_position_interval
248,The journalist interviewed the mistress of the queen who,The journalist interviewed the mistresses of the palace who [MASK],who,plural,BERT,large,BERT-large,mistress,queen,palace,were,were,1,43,19,5,4
249,The journalist interviewed the secretary of the mayor who,The journalist interviewed the secretaries of the office who [MASK],who,plural,BERT,large,BERT-large,secretary,mayor,office,were,were,1,21,12,5,3
250,The journalist photographed the daughter of the king who,The journalist photographed the daughters of the house who [MASK],who,plural,BERT,large,BERT-large,daughter,king,house,were,were,1,29,17,5,4
251,The journalist was unable to interview the daughter of the hostages who,The journalist was unable to interview the daughters of the house who [MASK],who,plural,BERT,large,BERT-large,daughter,hostages,house,were,were,1,16,11,4,3
252,The judge recognized the solicitor of the criminal who,The judge recognized the solicitors of the office who [MASK],who,plural,BERT,large,BERT-large,solicitor,criminal,office,were,were,1,30,16,5,4
253,The lawyer contacted the clerk of the judge who,The lawyer contacted the clerks of the office who [MASK],who,plural,BERT,large,BERT-large,clerk,judge,office,were,were,1,43,21,5,5
254,The little girl envied the maid of the princess who,The little girl envied the maids of the hotel who [MASK],who,plural,BERT,large,BERT-large,maid,princess,dresser,were,were,1,25,18,5,4
255,The little girl envied the princess of the maid who,The little girl envied the princesses of the palace who [MASK],who,plural,BERT,large,BERT-large,princess,maid,hotel,were,were,1,22,17,5,4
256,The local newspaper columnist wrote about the mascot of the club which,The local newspaper columnist wrote about the mascots of the cheerleader which [MASK],which,plural,BERT,large,BERT-large,mascot,club,cheerleaders,were,was,0,26,31,5,5
257,The lorry ran over the bicycle of the policeman which   ,The lorry ran over the bicycles of the driver which [MASK],which,plural,BERT,large,BERT-large,bicycle,policeman,driver,were,was,0,8,45,2,5
258,The maiden was having a look at the wardrobe of the countess which   ,The maiden was having a look at the wardrobes of the groom which [MASK],which,plural,BERT,large,BERT-large,wardrobe,countess,groom,were,was,0,28,50,5,5
259,The man asked for the apprentices of the builder who,The man asked for the apprentices of the factory who [MASK],who,plural,BERT,large,BERT-large,apprentices,builder,factories,were,were,1,30,21,5,5
260,The man called to the guide of the travelers who,The man called to the guides of the book who [MASK],who,plural,BERT,large,BERT-large,guide,travelers,book,were,was,0,20,31,4,5
261,The man collects the wines of the beers  which,The man collects the wines of the tourist which [MASK],which,plural,BERT,large,BERT-large,wines,beers,tourists,were,was,0,105,318,5,5
262,The man folds the pants of the pullovers  which,The man folds the pants of the toddler which [MASK],which,plural,BERT,large,BERT-large,pants,pullovers,toddlers,were,was,0,159,0,5,5
263,The man grabs the keys of the phones  which,The man grabs the keys of the driver which [MASK],which,plural,BERT,large,BERT-large,keys,phones,driver,were,was,0,156,309,5,5
264,The man marks the crates of the boxes  which,The man marks the crates of the model which [MASK],which,plural,BERT,large,BERT-large,crates,boxes,models,were,was,0,61,272,5,5
265,The man noticed the hairdresser of the singers who,The man noticed the hairdressers of the salon who [MASK],who,plural,BERT,large,BERT-large,hairdresser,singers,salon,were,were,1,44,19,5,4
266,The man observed the barrister of the criminals who,The man observed the barristers of the office who [MASK],who,plural,BERT,large,BERT-large,barrister,criminals,office,were,were,1,36,18,5,4
267,The man observed the sergeant of the soldiers who,The man observed the sergeants of the office who [MASK],who,plural,BERT,large,BERT-large,sergeant,soldiers,office,were,were,1,36,22,5,5
268,The man questioned the guide of the tourist who,The man questioned the guides of the book who [MASK],who,plural,BERT,large,BERT-large,guide,tourist,book,were,was,0,21,28,5,5
269,The man removes the towels of the bathrobes  which,The man removes the towels of the cleaner which [MASK],which,plural,BERT,large,BERT-large,towels,bathrobes,cleaner,were,was,0,130,370,5,5
270,The man serves the drinks of the dishes  which,The man serves the drinks of the cook which [MASK],which,plural,BERT,large,BERT-large,drinks,dishes,cook,were,was,0,60,147,5,5
271,The man smiled at the supervisor of the clerk who,The man smiled at the supervisors of the office who [MASK],who,plural,BERT,large,BERT-large,supervisor,clerk,office,were,were,1,24,14,5,3
272,The man spoke to the secretary of the manager who,The man spoke to the secretaries of the office who [MASK],who,plural,BERT,large,BERT-large,secretary,manager,office,were,were,1,35,20,5,4
273,The man washes the scooters of the bicycles  which,The man washes the scooters of the model which [MASK],which,plural,BERT,large,BERT-large,scooters,bicycles,models,were,was,0,113,365,5,5
274,The mayor talked with the widower of the fisherman who,The mayor talked with the widowers of the mansion who [MASK],who,plural,BERT,large,BERT-large,widower,fisherman,mansion,were,were,1,29,17,5,4
275,The mechanics were modifying the car of the driver which   ,The mechanics were modifying the cars of the driver which [MASK],which,plural,BERT,large,BERT-large,car,driver,driver,were,was,0,22,25,5,5
276,The millionaire was shown the house of the pool which,The millionaire was shown the houses of the neighbor which [MASK],which,plural,BERT,large,BERT-large,house,pool,neighbor,were,was,0,41,42,5,5
277,The newspaper wrote a story about the uncle of the milkman who,The newspaper wrote a story about the uncles of the palace who [MASK],who,plural,BERT,large,BERT-large,uncle,milkman,palace,were,was,0,16,25,4,5
278,The nurse bumped into the visitor of the patient who,The nurse bumped into the visitors of the hotel who [MASK],who,plural,BERT,large,BERT-large,visitor,patient,hotel,were,were,1,42,21,5,5
279,The nurse took the syrup of the patient which   ,The nurse took the syrups of the cook which [MASK],which,plural,BERT,large,BERT-large,syrup,patient,cook,were,was,0,19,21,4,5
280,The nurse trusted the doctor of the teacher who,The nurse trusted the doctors of the hospital who [MASK],who,plural,BERT,large,BERT-large,doctor,teacher,hospital,were,was,0,31,34,5,5
281,The old lady was observing the toy of the baby which   ,The old lady was observing the toys of the toddler which [MASK],which,plural,BERT,large,BERT-large,toy,baby,toddlers,were,was,0,19,21,4,5
282,The patient stained with blood the notebook of the doctor which   ,The patient stained with blood the notebooks of the guide which [MASK],which,plural,BERT,large,BERT-large,notebook,doctor,guides,were,was,0,19,30,4,5
283,The peasant was gazing at the luggage of the wanderer which   ,The peasant was gazing at the luggages of the traveler which [MASK],which,plural,BERT,large,BERT-large,luggage,wanderer,travelers,were,was,0,20,32,4,5
284,The people watched the box of the soldier which   ,The people watched the boxes of the cleaner which [MASK],which,plural,BERT,large,BERT-large,box,soldier,cleaner,were,was,0,18,21,4,5
285,The personal manager was observing the secretary of the accountants who,The personal manager was observing the secretaries of the office who [MASK],who,plural,BERT,large,BERT-large,secretary,accountants,office,were,were,1,24,18,5,4
286,The photographer ignored the ministers of the president who,The photographer ignored the ministers of the conference who [MASK],who,plural,BERT,large,BERT-large,ministers,president,conference,were,were,1,22,12,5,3
287,The photographer liked the artists of the models who,The photographer liked the artists of the song who [MASK],who,plural,BERT,large,BERT-large,artists,models,songs,were,were,1,28,20,5,4
288,The pilot was looking at the airport through the window of the plane which,The pilot was looking at the airport through the windows of the doorman which [MASK],which,plural,BERT,large,BERT-large,window,plane,doorman,were,was,0,16,23,4,5
289,The plumber adjusted the pipe of the sinks which,The plumber adjusted the pipes of the cleaner which [MASK],which,plural,BERT,large,BERT-large,pipe,sinks,cleaner,were,was,0,19,27,4,5
290,The plumber suggested to us to change the faucet of the sink which,The plumber suggested to us to change the faucets of the cleaner which [MASK],which,plural,BERT,large,BERT-large,faucet,sink,cleaner,were,was,0,20,41,4,5
291,The police arrested the brother of the porter who,The police arrested the brothers of the house who [MASK],who,plural,BERT,large,BERT-large,brother,porter,house,were,were,1,20,12,4,3
292,The police arrested the chauffeur of the actor who,The police arrested the chauffeurs of the limousine who [MASK],who,plural,BERT,large,BERT-large,chauffeur,actor,limousine,were,were,1,19,12,4,3
293,The police arrested the cousin of the painter who,The police arrested the cousins of the house who [MASK],who,plural,BERT,large,BERT-large,cousin,painter,house,were,were,1,24,13,5,3
294,The police arrested the maiden of the marquis who,The police arrested the maidens of the crown who [MASK],who,plural,BERT,large,BERT-large,maiden,marquis,crown,were,were,1,20,12,4,3
295,The police arrested the servant of the marquis who,The police arrested the servants of the church who [MASK],who,plural,BERT,large,BERT-large,servant,marquis,church,were,were,1,21,12,5,3
296,The police arrested the sister of the nurse who,The police arrested the sisters of the house who [MASK],who,plural,BERT,large,BERT-large,sister,nurse,house,were,were,1,24,13,5,3
298,The policeman arrested the supervisor of the bodyguards who,The policeman arrested the supervisors of the office who [MASK],who,plural,BERT,large,BERT-large,supervisor,bodyguards,office,were,were,1,21,13,5,3
299,The postman approached the secretary of the manager who,The postman approached the secretaries of the office who [MASK],who,plural,BERT,large,BERT-large,secretary,manager,office,were,were,1,48,20,5,4
300,The professor frowned at the technician of the physician who,The professor frowned at the technicians of the laboratory who [MASK],who,plural,BERT,large,BERT-large,technician,physician,laboratory,were,were,1,27,18,5,4
302,The professor read the book of the student which   ,The professor read the books of the author which [MASK],which,plural,BERT,large,BERT-large,book,student,author,were,was,0,34,42,5,5
303,The professor read the review of the poem which,The professor read the reviews of the guide which [MASK],which,plural,BERT,large,BERT-large,review,poem,guides,were,was,0,26,34,5,5
304,The publisher hated the executive of the economist who,The publisher hated the executives of the company who [MASK],who,plural,BERT,large,BERT-large,executive,economist,company,were,was,0,19,21,4,5
305,The publisher rejected the cover of the book which,The publisher rejected the covers of the illustrator which [MASK],which,plural,BERT,large,BERT-large,cover,book,illustrator,were,was,0,22,31,5,5
306,The publisher smiled at the illustrator of the poet who,The publisher smiled at the illustrators of the sculpture who [MASK],who,plural,BERT,large,BERT-large,illustrator,poet,sculpture,were,were,1,24,18,5,4
308,The pupil teased the son of the teacher who,The pupil teased the sons of the house who [MASK],who,plural,BERT,large,BERT-large,son,teacher,house,were,was,0,97,103,5,5
309,The rain wet the hammock of the priest which   ,The rain wet the hammocks of the toddler which [MASK],which,plural,BERT,large,BERT-large,hammock,priest,toddlers,were,was,0,24,40,5,5
310,The receptionist greeted the client of the lawyers who,The receptionist greeted the clients of the company who [MASK],who,plural,BERT,large,BERT-large,client,lawyers,company,were,were,1,47,25,5,5
311,The red cross took the luggage of the refugees which   ,The red cross took the luggages of the traveler which [MASK],which,plural,BERT,large,BERT-large,luggage,refugees,travelers,were,were,1,21,16,5,4
312,The reporter filmed the arms of the rebels which   ,The reporter filmed the arms of the bodyguard which [MASK],which,plural,BERT,large,BERT-large,arms,rebels,bodyguards,were,was,0,20,26,4,5
313,The reporter phoned the boss of the secretary who,The reporter phoned the bosses of the club who [MASK],who,plural,BERT,large,BERT-large,boss,secretary,club,were,were,1,33,23,5,5
314,The reporter questioned the coach of the gymnast who,The reporter questioned the coaches of the team who [MASK],who,plural,BERT,large,BERT-large,coach,gymnast,team,were,were,1,19,12,4,3
315,The reporter watched the lawyers of the criminals who,The reporter watched the lawyers of the office who [MASK],who,plural,BERT,large,BERT-large,lawyers,criminals,office,were,were,1,20,16,4,4
316,The reporters interviewed the attorney of the defendant who,The reporters interviewed the attorneys of the office who [MASK],who,plural,BERT,large,BERT-large,attorney,defendant,office,were,were,1,20,12,4,3
317,The restaurant owner motioned to the waitress of the woman who,The restaurant owner motioned to the waitresses of the hotel who [MASK],who,plural,BERT,large,BERT-large,waitress,woman,hotel,were,were,1,20,13,4,3
318,The rumours accused the brother of the banker who,The rumours accused the brothers of the house who [MASK],who,plural,BERT,large,BERT-large,brother,banker,house,were,were,1,28,27,5,5
319,The sculptor finished the base of the statue which,The sculptor finished the bases of the mechanic which [MASK],which,plural,BERT,large,BERT-large,base,statue,mechanic,were,was,0,26,48,5,5
320,The secretary saw the driver of the manager who,The secretary saw the drivers of the motorbike who [MASK],who,plural,BERT,large,BERT-large,driver,manager,motorbikes,were,were,1,20,19,4,4
321,The servant contemplated the show of the guest which   ,The servant contemplated the shows of the celebrity which [MASK],which,plural,BERT,large,BERT-large,show,guest,celebrity,were,was,0,23,49,5,5
322,The singer called the sister of the groom who,The singer called the sisters of the house who [MASK],who,plural,BERT,large,BERT-large,sister,groom,house,were,was,0,29,45,5,5
323,The sponsor met the coach of the player who,The sponsor met the coaches of the team who [MASK],who,plural,BERT,large,BERT-large,coach,player,team,were,were,1,21,11,5,3
324,The student met the colleague of the professor who,The student met the colleagues of the university who [MASK],who,plural,BERT,large,BERT-large,colleague,professor,university,were,were,1,27,15,5,3
325,The student photographed the fan of the actress who,The student photographed the fans of the movie who [MASK],who,plural,BERT,large,BERT-large,fan,actress,movie,were,was,0,101,231,5,5
326,The supplier liked the employee of the gardener who,The supplier liked the employees of the company who [MASK],who,plural,BERT,large,BERT-large,employee,gardener,company,were,were,1,26,20,5,4
327,The teacher was talking with the relative of the boy who,The teacher was talking with the relatives of the laboratory who [MASK],who,plural,BERT,large,BERT-large,relative,boy,laboratory,were,were,1,19,10,4,2
328,The teenagers spied on the niece of the teacher who,The teenagers spied on the writers of the poem who [MASK],who,plural,BERT,large,BERT-large,writer,teacher,poem,were,were,1,34,31,5,5
329,The tenant greeted the grandfather of the caretaker who,The tenant greeted the grandfathers of the house who [MASK],who,plural,BERT,large,BERT-large,grandfather,caretaker,house,were,were,1,24,15,5,3
330,The terrorists kidnapped the granddaughter of the steward who,The terrorists kidnapped the granddaughters of the house who [MASK],who,plural,BERT,large,BERT-large,granddaughter,steward,house,were,were,1,31,24,5,5
331,The therapist treated the patient of the nurse who,The therapist treated the patients of the hospital who [MASK],who,plural,BERT,large,BERT-large,patient,nurse,hospital,were,were,1,26,20,5,4
332,The thief hit the technician of the dentist who,The thief hit the technicians of the laboratory who [MASK],who,plural,BERT,large,BERT-large,technician,dentist,laboratory,were,was,0,30,54,5,5
333,The thief took the key of the trunks which,The thief took the keys of the guide which [MASK],which,plural,BERT,large,BERT-large,key,trunks,guides,were,was,0,23,46,5,5
334,The tourist disliked the roof of the church which,The tourist disliked the roofs of the neighbor which [MASK],which,plural,BERT,large,BERT-large,roof,church,neighbor,were,was,0,31,63,5,5
335,The tourist made a sketch of the grandson of the peasant who,The tourist made a sketches of the grandsons of the house who [MASK],who,plural,BERT,large,BERT-large,grandson,peasant,house,were,were,1,15,12,3,3
336,The tourist photographed the mule of the peasant who,The tourist photographed the drivers of the motorbike who [MASK],who,plural,BERT,large,BERT-large,driver,peasant,motorbikes,were,were,1,25,15,5,3
337,The tourists admired the museum of the city which,The tourists admired the museums of the visitor which [MASK],which,plural,BERT,large,BERT-large,museum,city,visitor,were,was,0,24,34,5,5
338,The visitor toured the garden of the palace which,The visitor toured the gardens of the gardener which [MASK],which,plural,BERT,large,BERT-large,garden,palace,gardener,were,was,0,24,61,5,5
339,The waiter watched the cousin of the tourist who,The waiter watched the cousins of the house who [MASK],who,plural,BERT,large,BERT-large,cousin,tourist,house,were,were,1,17,16,4,4
340,The wind blow the canvas of the sailor which   ,The wind blow the canvases of the painter which [MASK],which,plural,BERT,large,BERT-large,canvas,sailor,painter,were,was,0,85,166,5,5
341,The woman blamed the apprentice of the hairdresser who,The woman blamed the apprentices of the college who [MASK],who,plural,BERT,large,BERT-large,apprentice,hairdresser,college,were,were,1,25,19,5,4
342,The woman blamed the hairdresser of the apprentices who,The woman blamed the hairdressers of the salon who [MASK],who,plural,BERT,large,BERT-large,hairdresser,apprentices,salon,were,was,0,16,18,4,4
343,The woman carpenters the shelf of the bedroom which,The woman carpenters the shelves of the cleaner which [MASK],which,plural,BERT,large,BERT-large,shelf,bedroom,cleaner,were,was,0,79,235,5,5
344,The woman caught the attention of the publicist of the artists who,The woman caught the attention of the publicists of the city who [MASK],who,plural,BERT,large,BERT-large,publicist,artists,city,were,were,1,69,26,5,5
345,The woman closes the window of the bathroom which,The woman closes the windows of the doorman which [MASK],which,plural,BERT,large,BERT-large,window,bathroom,doorman,were,was,0,130,470,5,5
346,The woman cuts the rosebush of the garden which,The woman cuts the rosebushes of the gardener which [MASK],which,plural,BERT,large,BERT-large,rosebush,garden,gardener,were,was,0,128,404,5,5
347,The woman decorates the cabinet of the room which,The woman decorates the cabinets of the minister which [MASK],which,plural,BERT,large,BERT-large,cabinet,room,ministers,were,was,0,96,398,5,5
348,The woman decorates the lobby of the factory which,The woman decorates the lobbies of the doorman which [MASK],which,plural,BERT,large,BERT-large,lobby,factory,doorman,were,was,0,167,445,5,5
349,The woman delivers the flowers of the parcels  which,The woman delivers the flowers of the florist which [MASK],which,plural,BERT,large,BERT-large,flowers,parcels,florist,were,was,0,81,301,5,5
350,The woman disinfects the pillow of the couch which,The woman disinfects the pillows of the toddler which [MASK],which,plural,BERT,large,BERT-large,pillow,couch,toddlers,were,was,0,111,328,5,5
351,The woman draws the apples of the bananas which,The woman draws the apples of the cook which [MASK],which,plural,BERT,large,BERT-large,apples,bananas,cook,were,was,0,99,314,5,5
352,The woman dusts the frames of the lamps  which,The woman dusts the frames of the model which [MASK],which,plural,BERT,large,BERT-large,frames,lamps,models,were,was,0,113,282,5,5
353,The woman empties the register of the shop which,The woman empties the registers of the accountant which [MASK],which,plural,BERT,large,BERT-large,register,shop,accountants,were,was,0,103,268,5,5
354,The woman engraves the head of the bed which,The woman engraves the heads of the headmaster which [MASK],which,plural,BERT,large,BERT-large,head,bed,headmaster,were,was,0,246,345,5,5
355,The woman exchanges the bulbs of the lamps which,The woman exchanges the bulb of the cleaner which [MASK],which,plural,BERT,large,BERT-large,bulbs,lamps,cleaner,were,was,0,106,0,5,5
356,The woman fastens the ropes of the hammocks which,The woman fastens the ropes of the tramp which [MASK],which,plural,BERT,large,BERT-large,ropes,hammocks,tramp,were,was,0,163,251,5,5
357,The woman feeds the dogs of the cats  which,The woman feeds the dogs of the toddler which [MASK],which,plural,BERT,large,BERT-large,dogs,cats,toddlers,were,was,0,93,209,5,5
358,The woman films the loudspeakers of the stereo which,The woman films the loudspeakers of the model which [MASK],which,plural,BERT,large,BERT-large,loudspeakers,stereo,models,were,was,0,65,109,5,5
359,The woman installs the heater of the laundry which,The woman installs the heaters of the cleaner which [MASK],which,plural,BERT,large,BERT-large,heater,laundry,cleaner,were,was,0,175,297,5,5
360,The woman irons the shirts of the skirts  which,The woman irons the shirts of the cheerleader which [MASK],which,plural,BERT,large,BERT-large,shirts,skirts,cheerleaders,were,was,0,157,347,5,5
361,The woman knew the photographer of the singer who,The woman knew the photographers of the sculpture who [MASK],who,plural,BERT,large,BERT-large,photographer,singer,sculpture,were,was,0,16,22,4,5
363,The woman lists the cars of the motorbikes  which,The woman lists the cars of the driver which [MASK],which,plural,BERT,large,BERT-large,cars,motorbikes,driver,were,were,1,107,103,5,5
364,The woman looked at the supervisor of the clerks who,The woman looked at the supervisors of the office who [MASK],who,plural,BERT,large,BERT-large,supervisor,clerks,office,were,were,1,29,16,5,4
365,The woman observes the monitor of the computer which,The woman observes the monitors of the detective which [MASK],which,plural,BERT,large,BERT-large,monitor,computer,detectives,were,was,0,74,137,5,5
366,The woman opens the drawer of the dresser which,The woman opens the drawers of the cleaner which [MASK],which,plural,BERT,large,BERT-large,drawer,dresser,cleaner,were,was,0,106,167,5,5
367,The woman patches the sleeve of the suit which,The woman patches the sleeves of the groom which [MASK],which,plural,BERT,large,BERT-large,sleeve,suit,groom,were,was,0,119,250,5,5
368,The woman photographs the statues of the garden  which,The woman photographs the statues of the soldier which [MASK],which,plural,BERT,large,BERT-large,statues,garden,soldiers,were,was,0,135,144,5,5
369,The woman polishes the knob of the cage which,The woman polishes the knobs of the cleaner which [MASK],which,plural,BERT,large,BERT-large,knob,cage,cleaner,were,was,0,224,391,5,5
370,The woman presents the mugs of the plates  which,The woman presents the mugs of the toddler which [MASK],which,plural,BERT,large,BERT-large,mugs,plates,toddlers,were,was,0,58,81,5,5
371,The woman rakes the leafs of the bushes which,The woman rakes the gardens of the colonel which [MASK],which,plural,BERT,large,BERT-large,graden,bushes,colonels,were,was,0,162,0,5,5
372,The woman removes the leash of the cat which,The woman removes the shirts of the child which [MASK],which,plural,BERT,large,BERT-large,shirt ,cat,child,were,was,0,82,213,5,5
373,The woman repairs the clocks of the scales  which,The woman repairs the clocks of the model which [MASK],which,plural,BERT,large,BERT-large,clocks,scales,models,were,was,0,63,135,5,5
374,The woman scratches the roof of the dollhouse which,The woman scratches the roofs of the neighbor which [MASK],which,plural,BERT,large,BERT-large,roof,dollhouse,neighbor,were,was,0,114,200,5,5
375,The woman searches the showcase of the shelf which,The woman searches the showcases of the celebrity which [MASK],which,plural,BERT,large,BERT-large,showcase,shelf,celebrity,were,was,0,162,0,5,5
376,The woman shifts the bench of the garage which,The woman shifts the benches of the player which [MASK],which,plural,BERT,large,BERT-large,bench,garage,player,were,was,0,134,0,5,5
377,The woman smashes the pane of the limousine which,The woman smashes the panes of the driver which [MASK],which,plural,BERT,large,BERT-large,pane,limousine,driver,were,was,0,300,0,5,5
378,The woman wallpapers the wall of the kitchen which,The woman wallpapers the walls of the doorman which [MASK],which,plural,BERT,large,BERT-large,wall,kitchen,doorman,were,was,0,292,0,5,5
379,The woman watched the maids of the princess who,The woman watched the maids of the palace who [MASK],who,plural,BERT,large,BERT-large,maids,princess,palace,were,were,1,47,30,5,5
380,The woman watches the birds of the butterflies  which,The woman watches the birds of the tourist which [MASK],which,plural,BERT,large,BERT-large,birds,butterflies,tourists,were,was,0,250,464,5,5
381,The woman waters the box of the balcony which,The woman waters the flowers of the cleaner which [MASK],which,plural,BERT,large,BERT-large,flower ,balcony,cleaner,were,was,0,89,0,5,5
382,The woman waters the plants of the roses  which,The woman waters the plants of the gardener which [MASK],which,plural,BERT,large,BERT-large,plants,roses,gardener,were,was,0,96,391,5,5
383,The young girl favored the driver of the player who,The young girl favored the drivers of the motorbike who [MASK],who,plural,BERT,large,BERT-large,driver,player,motorbikes,were,were,1,26,20,5,4
384,The young girl favored the player of the driver who,The young girl favored the players of the team who [MASK],who,plural,BERT,large,BERT-large,player,driver,team,were,were,1,24,17,5,4
385,The young man noticed the singers of the guitarists who,The young man noticed the singers of the song who [MASK],who,plural,BERT,large,BERT-large,singers,guitarists,songs,were,were,1,46,26,5,5
386,This afternoon I have seen the nurse of the doctor who,This afternoon I have seen the nurses of the hospital who [MASK],who,plural,BERT,large,BERT-large,nurse,doctor,hospital,were,were,1,127,48,5,5
387,This afternoon I saw the nurse of the doctor who,This afternoon I saw the nurses of the hospital who [MASK],who,plural,BERT,large,BERT-large,nurse,doctor,hospital,were,were,1,44,33,5,5
388,This afternoon I saw the son of the doctor who,This afternoon I saw the sons of the house who [MASK],who,plural,BERT,large,BERT-large,son,doctor,house,were,was,0,46,47,5,5
389,This morning I met the aunt of the mechanic who,This morning I met the aunts of the house who [MASK],who,plural,BERT,large,BERT-large,aunt,mechanic,house,were,were,1,78,36,5,5
390,Tina knows the doctors of the supermodel who,Tina knows the doctors of the hospital who [MASK],who,plural,BERT,large,BERT-large,doctors,supermodel,hospital,were,were,1,124,78,5,5
391,Tina met the gardeners of the millionaire who,Tina met the gardeners of the garden who [MASK],who,plural,BERT,large,BERT-large,gardeners,millionaire,garden,were,were,1,41,25,5,5
392,Tomorrow I have a date with the advisor of the attorney who,Tomorrow I have a date with the advisors of the office who [MASK],who,plural,BERT,large,BERT-large,advisor,attorney,office,were,was,0,70,268,5,5
393,Tracy chatted with the bodyguards of the celebrity who,Tracy chatted with the bodyguards of the palace who [MASK],who,plural,BERT,large,BERT-large,bodyguards,celebrity,palace,were,were,1,24,16,5,4
394,We borrowed the car of the neighbor which   ,We borrowed the cars of the driver which [MASK],which,plural,BERT,large,BERT-large,car,neighbor,driver,were,was,0,20,41,4,5
395,We have to paint the handlebar of the bicycle which,We have to paint the handlebars of the driver which [MASK],which,plural,BERT,large,BERT-large,handlebar,bicycle,driver,were,was,0,143,0,5,5
396,We were worried about the grandmother of the babysitter who,We were worried about the grandmothers of the house who [MASK],who,plural,BERT,large,BERT-large,grandmother,babysitter,house,were,were,1,25,22,5,5
397,Yesterday I dropped the tray of the perfume which,Yesterday I dropped the trays of the cook which [MASK],which,plural,BERT,large,BERT-large,tray,perfume,cook,were,was,0,23,55,5,5
398,Yesterday I met the friend of the councillor who,Yesterday I met the friends of the house who [MASK],who,plural,BERT,large,BERT-large,friend,councillor,house,were,were,1,48,30,5,5
399,Yesterday I met with the girlfriend of the councillor who,Yesterday I met with the girlfriends of the wedding who [MASK],who,plural,BERT,large,BERT-large,girlfriend,councillor,wedding,were,were,1,41,22,5,5
400,Yesterday I saw the consultant of the director who,Yesterday I saw the consultants of the company who [MASK],who,plural,BERT,large,BERT-large,consultant,director,company,were,was,0,53,111,5,5
401,Zack recognized the daughter of the shopkeepers who,Zack recognized the daughters of the house who [MASK],who,plural,BERT,large,BERT-large,daughter,shopkeepers,house,were,were,1,44,17,5,4
0,A client looked at the clerk of the solicitor who,A client looked at the clerk of the offices who <mask>,who,singular,RoBERTa,base,RoBERTa-base,clerk,solicitor,office,was,was,1,22,26,5,5
1,A client noticed the hairdresser of the actress who,A client noticed the hairdresser of the salons who <mask>,who,singular,RoBERTa,base,RoBERTa-base,hairdresser,actress,salon,was,was,1,11,11,3,3
2,A customer frowned at the assistant of the pharmacist who,A customer frowned at the assistant of the laboratories who <mask>,who,singular,RoBERTa,base,RoBERTa-base,assistant,pharmacist,laboratory,was,was,1,6,61,2,5
3,A fan looked at the guitarist of the singer who,A fan looked at the guitarist of the bands who <mask>,who,singular,RoBERTa,base,RoBERTa-base,guitarist,singer,band,was,was,1,9,15,2,3
4,A man asked for the apprentice of the builder who,A man asked for the apprentice of the colleges who <mask>,who,singular,RoBERTa,base,RoBERTa-base,apprentice,builder,college,was,were,0,6,4,2,1
5,A man called to the guide of the traveler who,A man called to the guide of the books who <mask>,who,singular,RoBERTa,base,RoBERTa-base,guide,traveler,book,was,was,1,5,22,1,5
6,A man observed the barrister of the criminal who,A man observed the barrister of the offices who <mask>,who,singular,RoBERTa,base,RoBERTa-base,barrister,criminal,office,was,was,1,4,37,1,5
7,A nurse smiled at the psychiatrist of the patient who,A nurse smiled at the psychiatrist of the hospitals who <mask>,who,singular,RoBERTa,base,RoBERTa-base,psychiatrist,patient,hospital,was,was,1,3,11,1,3
8,A registered letter came for the landlord of the businessman who,A registered letter came for the landlord of the houses who <mask>,who,singular,RoBERTa,base,RoBERTa-base,landlord,businessman,house,was,was,1,9,51,2,5
9,A reporter interviewed the bodyguard of the prince who,A reporter interviewed the bodyguard of the palaces who <mask>,who,singular,RoBERTa,base,RoBERTa-base,bodyguard,prince,palace,was,was,1,10,81,2,5
10,A strange woman called to the travelers of the guides who,A strange woman called to the traveler of the hotels who <mask>,who,singular,RoBERTa,base,RoBERTa-base,travelers,guides,hotel,was,was,1,1,8,1,2
11,A student stared at the friend of the lawyer who,A student stared at the friend of the houses who <mask>,who,singular,RoBERTa,base,RoBERTa-base,friend,lawyer,house,was,was,1,4,215,1,5
13,A student stared at the secretary of the teacher who,A student stared at the secretary of the offices who <mask>,who,singular,RoBERTa,base,RoBERTa-base,secretary,teacher,office,was,was,1,22,55,5,5
14,A thief was keeping an eye on the case of the tourist which   ,A thief was keeping an eye on the case of the defendants which <mask>,which,singular,RoBERTa,base,RoBERTa-base,case,tourist,defendant,was,was,1,6,1111,2,5
15,A woman caught the attention of the publicist of the writer who,A woman caught the attention of the publicist of the cities who <mask>,who,singular,RoBERTa,base,RoBERTa-base,publicist,writer,city,was,was,1,8,35,2,5
16,Adam resembled the representative of the employees who,Adam resembled the representative of the conferences who <mask>,who,singular,RoBERTa,base,RoBERTa-base,representative,employees,conference,was,were,0,52,8,5,2
17,Alan punished the accountant of the businessmen who,Alan punished the accountant of the companies who <mask>,who,singular,RoBERTa,base,RoBERTa-base,accountant,businessmen,company,was,were,0,194,43,5,5
18,Alan saw the accountant of the businessmen who,Alan saw the accountant of the companies who <mask>,who,singular,RoBERTa,base,RoBERTa-base,accountant,businessmen,company,was,were,0,14,3,3,1
19,Alice lives next to the surgeon of the soldiers who,Alice lives next to the surgeon of the hospitals who <mask>,who,singular,RoBERTa,base,RoBERTa-base,surgeon,soldiers,hospital,was,were,0,44,20,5,4
