id,original_sentence,transformed_sentence,relative_pronoun,number,N1,N2,exchanged_N2
144,The bartender served the cousin of the actor who,The bartender served the cousins of the house who were,who,plural,cousin,actor,house
145,The boss visited the uncle of the merchant who,The boss visited the uncles of the palace who were,who,plural,uncle,merchant,palace
146,The boy climbed the fence of the house which,The boy climbed the fences of the neighbor which were,which,plural,fence,house,neighbor
147,The boys laughed at the grandmother of the girl who,The boys laughed at the grandmothers of the house who were,who,plural,grandmother,girl,house
148,The boys poked fun at the nephew of the teacher who,The boys poked fun at the nephews of the palace who were,who,plural,nephew,teacher,palace
149,The boys poked fun at the niece of the teacher who,The boys poked fun at the writers of the poem who were,who,plural,writer,teacher,poem
150,The brokers sold the stocks of the fund which,The brokers sold the stocks of the cashier which were,which,plural,stocks,fund,cashiers
151,The busker warned the companion of the tramp who,The busker warned the companions of the company who were,who,plural,companion,tramp,company
152,The cameraman adored the actor of the director who,The cameraman adored the actors of the movie who were,who,plural,actor,director,movie
153,The cameraman adored the director of the actor who,The cameraman adored the directors of the university who were,who,plural,director,actor,university
154,The cameraman glanced at the director of the actors who,The cameraman glanced at the directors of the university who were,who,plural,director,actors,university
155,The cameraman hated the relative of the actor who,The cameraman hated the relatives of the laboratory who were,who,plural,relative,actor,laboratory
156,The captain authorized the departure of the ship of the mast which,The captain authorized the departures of the ships of the secretary which were,which,plural,ship,mast,secretary
157,The car stopped in front of the door of the house which,The car stopped in fronts of the doors of the doorman which were,which,plural,door,house,doorman
158,The caretaker drove away the footballs of the boys which   ,The caretaker drove away the footballs of the footballer which were,which,plural,footballs,boys,footballer
159,The chairman phoned the boss of the clerks who,The chairman phoned the bosses of the club who were,who,plural,boss,clerks,club
160,The chancellor welcomed the advisor of the mayor who,The chancellor welcomed the advisors of the office who were,who,plural,advisor,mayor,office
161,The chef couldn't find the cover of the pans which,The chef couldn't find the covers of the guide which were,which,plural,cover,pans,guides
162,The chef hired the friend of the waiter who,The chef hired the friends of the house who were,who,plural,friend,waiter,house
163,The children followed the grandmother of the girl who,The children followed the grandmothers of the house who were,who,plural,grandmother,girl,house
164,The children were poking fun at the donkey of the milkman which   ,The children were poking fun at the donkeys of the tramp which were,which,plural,donkey,milkman,tramp
165,The cleaning lady noticed the chief of the player who,The cleaning lady noticed the chiefs of the office who were,who,plural,chief,player,office
167,The clerk asked for the consultant of the economist who,The clerk asked for the consultants of the company who were,who,plural,consultant,economist,company
169,The client asked for the clerk of the solicitors who,The client asked for the clerks of the office who were,who,plural,clerk,solicitors,office
170,The client missed the patron of the artist who,The client missed the patrons of the church who were,who,plural,patron,artist,church
171,The coach looked at the footballer of the fans who,The coach looked at the footballers of the club who were,who,plural,footballer,fans,club
172,The coach looked at the physiotherapist of the footballer who,The coach looked at the physiotherapists of the laboratory who were,who,plural,physiotherapist,footballer,laboratory
174,The collector lost the picture of the house which,The collector lost the pictures of the model which were,which,plural,picture,house,models
175,The cop greeted the son of the cook who,The cop greeted the sons of the house who were,who,plural,son,cook,house
176,The count ordered the steak of the sauce which,The count ordered the steaks of the cook which were,which,plural,steak,sauce,cook
177,The crazy man hit the dog of the neighbor which   ,The crazy man hit the dogs of the boy which were,which,plural,dog,neighbor,boy
178,The crewman cleaned the oar of the boat which,The crewman cleaned the oars of the tramp which were,which,plural,oar,boat,tramp
179,The critics judge very harshly the lithograph of the park which,The critics judge very harshly the lithographs of the painter which were,which,plural,lithograph,park,painter
180,The customer called to the assistants of the pharmacist who,The customer called to the assistants of the laboratory who were,who,plural,assistants,pharmacist,laboratory
181,The customer spoke to the assistant of the pharmacist who,The customer spoke to the assistants of the laboratory who were,who,plural,assistant,pharmacist,laboratory
182,The dean liked the secretary of the professor who,The dean liked the secretaries of the office who were,who,plural,secretary,professor,office
183,The dean looked at the emblem of the college which,The dean looked at the emblems of the prince which were,which,plural,emblem,college,prince
184,The dean was thinking about the professor of the researcher who,The dean was thinking about the professors of the university who were,who,plural,professor,researcher,university
185,The dean was thinking about the researcher of the professor who,The dean was thinking about the researchers of the laboratory who were,who,plural,researcher,professor,laboratory
187,The designer agreed to show us the sketch of the house which,The designer agreed to show us the sketches of the artist which were,which,plural,sketch,house,artist
188,The detective photographed the friend of the student who,The detective photographed the friends of the house who were,who,plural,friend,student,house
189,The detective photographed the suitcase of the student which   ,The detective photographed the suitcases of the groom which were,which,plural,suitcase,student,groom
190,The detective pursued the bride of the prince who,The detective pursued the brides of the wedding who were,who,plural,bride,prince,wedding
191,The director congratulated the instructor of the boy who,The director congratulated the instructors of the laboratory who were,who,plural,instructor,boy,laboratory
193,The director discussed the set of the movie which,The director discussed the sets of the builder which were,which,plural,set,movie,builder
194,The director looked at the artists of the actress who,The director looked at the artists of the song who were,who,plural,artists,actress,songs
195,The director noticed the hairdresser of the actress who,The director noticed the hairdressers of the salon who were,who,plural,hairdresser,actress,salon
196,The director spoke to the actor of the cameraman who,The director spoke to the actors of the movie who were,who,plural,actor,cameraman,movie
197,The doctor contacted the lawyers of the nurses who,The doctor contacted the lawyers of the office who were,who,plural,lawyers,nurses,office
198,The doctor contacted the nurses of the lawyer who,The doctor contacted the nurses of the hospital who were,who,plural,nurses,lawyer,hospital
199,The doctor examined the nurse of the pupil who,The doctor examined the nurses of the hospital who were,who,plural,nurse,pupil,hospital
200,The doctor met the son of the colonel who,The doctor met the sons of the house who were,who,plural,son,colonel,house
201,The doctor observed the attorney of the consultant who,The doctor observed the attorneys of the office who were,who,plural,attorney,consultant,office
202,The doctor recognized the nurse of the patient who,The doctor recognized the nurses of the hospital who were,who,plural,nurse,patient,hospital
203,The doctor smiled at the nurses of the patient who,The doctor smiled at the nurses of the hospital who were,who,plural,nurses,patient,hospital
204,The dog barked at the football of the boy which   ,The dog barked at the footballs of the footballer which were,which,plural,football,boy,footballer
205,The dog barked at the niece of the empress who,The dog barked at the writers of the poem who were,who,plural,writer,empress,poem
206,The doorman was talking to the sister of the nurse who,The doorman was talking to the sisters of the house who were,who,plural,sister,nurse,house
207,The dressmaker was sewing the dress of the girl which   ,The dressmaker was sewing the dresses of the hairdresser which were,which,plural,dress,girl,hairdresser
208,The economist liked the journalist of the editor who,The economist liked the journalists of the university who were,who,plural,journalist,editor,university
209,The emperor described the painting of the crown which,The emperor described the paintings of the painter which were,which,plural,painting,crown,painter
210,The employee greeted the worker of the manager who,The employee greeted the workers of the hospital who were,who,plural,worker,manager,hospital
211,The explosion deafened the assistant of the inspector who,The explosion deafened the assistants of the laboratory who were,who,plural,assistant,inspector,laboratory
212,The explosion reached the assistant of the superintendent who,The explosion reached the assistants of the laboratory who were,who,plural,assistant,superintendent,laboratory
213,The explosion reached the car of the teacher which   ,The explosion reached the cars of the driver which were,which,plural,car,teacher,driver
214,The fan despised the mascot of the team which,The fan despised the mascots of the cheerleader which were,which,plural,mascot,team,cheerleaders
215,The fan looked at the guitarist of the singers who,The fan looked at the guitarists of the band who were,who,plural,guitarist,singers,band
216,The fireman called to the photographer of the journalist who,The fireman called to the photographers of the sculpture who were,who,plural,photographer,journalist,sculpture
217,The fireman observed the photographers of the journalist who,The fireman observed the photographers of the sculpture who were,who,plural,photographers,journalist,sculpture
218,The girl was interested in the artist of the actress who,The girl was interested in the artists of the sculpture who were,who,plural,artist,actress,sculpture
219,The governor bought some books for the library of the school which,The governor bought some books for the libraries of the visitor which were,which,plural,library,school,visitor
220,The grandfather bothered the father of the boy who,The grandfather bothered the fathers of the house who were,who,plural,father,boy,house
221,The guest impressed the brother of the bridegroom who,The guest impressed the brothers of the house who were,who,plural,brother,bridegroom,house
222,The headmaster called to the pupils of the teacher who,The headmaster called to the pupils of the school who were,who,plural,pupils,teacher,school
223,The headmaster called to the teacher of the pupil who,The headmaster called to the teachers of the school who were,who,plural,teacher,pupil,school
224,The headmaster smiled at the pupils of the teacher who,The headmaster smiled at the pupils of the school who were,who,plural,pupils,teacher,school
225,The host insulted the friend of the pharmacist who,The host insulted the friends of the house who were,who,plural,friend,pharmacist,house
226,The hotel director didn't want to see the guide of the tourists who,The hotel director didn't want to see the guides of the book who were,who,plural,guide,tourists,book
227,The housekeeper searched for the maid of the duchess who,The housekeeper searched for the maids of the palace who were,who,plural,maid,duchess,palace
228,The impolite students stared at the husband of the headmaster who,The impolite students stared at the husbands of the house who were,who,plural,husband,headmaster,house
229,The inspector glanced at the deputies of the policeman who,The inspector glanced at the deputies of the office who were,who,plural,deputies,policeman,office
231,The inspector observed the suitcase of the traveler which   ,The inspector observed the suitcases of the groom which were,which,plural,suitcase,traveler,groom
232,The inspector watched the deputies of the policemen who,The inspector watched the deputies of the office who were,who,plural,deputies,policemen,office
233,The insurance inspector photographed the engine of the boat which,The insurance inspector photographed the engines of the mechanic which were,which,plural,engine,boat,mechanic
234,The interviewer looked at the bodyguards of the prince who,The interviewer looked at the bodyguards of the palace who were,who,plural,bodyguards,prince,palace
235,The interviewer paid the son of the journalist who,The interviewer paid the sons of the house who were,who,plural,son,journalist,house
236,The journalist asked for the secretary of the minister who,The journalist asked for the secretaries of the office who were,who,plural,secretary,minister,office
237,The journalist called to the secretary of the ministers who,The journalist called to the secretaries of the office who were,who,plural,secretary,ministers,office
238,The journalist criticized the pilot of the traveler who,The journalist criticized the pilots of the plane who were,who,plural,pilot,traveler,plane
239,The journalist had interviewed the daughter of the colonel who,The journalist had interviewed the daughters of the house who were,who,plural,daughter,colonel,house
240,The journalist hated the soldier of the colonel who,The journalist hated the soldiers of the group who were,who,plural,soldier,colonel,group
241,The journalist hated the soldiers of the colonels who,The journalist hated the soldiers of the army who were,who,plural,soldiers,colonels,army
242,The journalist interviewed the agent of the author who,The journalist interviewed the agents of the company who were,who,plural,agent,author,company
243,The journalist interviewed the assistant of the inspector who,The journalist interviewed the assistants of the laboratory who were,who,plural,assistant,inspector,laboratory
244,The journalist interviewed the chauffeur of the mayoress who,The journalist interviewed the chauffeurs of the limousine who were,who,plural,chauffeur,mayoress,limousine
245,The journalist interviewed the coach of the gymnasts who,The journalist interviewed the coaches of the team who were,who,plural,coach,gymnasts,team
246,The journalist interviewed the daughter of the colonel who,The journalist interviewed the daughters of the house who were,who,plural,daughter,colonel,house
248,The journalist interviewed the mistress of the queen who,The journalist interviewed the mistresses of the palace who were,who,plural,mistress,queen,palace
249,The journalist interviewed the secretary of the mayor who,The journalist interviewed the secretaries of the office who were,who,plural,secretary,mayor,office
250,The journalist photographed the daughter of the king who,The journalist photographed the daughters of the house who were,who,plural,daughter,king,house
251,The journalist was unable to interview the daughter of the hostages who,The journalist was unable to interview the daughters of the house who were,who,plural,daughter,hostages,house
252,The judge recognized the solicitor of the criminal who,The judge recognized the solicitors of the office who were,who,plural,solicitor,criminal,office
253,The lawyer contacted the clerk of the judge who,The lawyer contacted the clerks of the office who were,who,plural,clerk,judge,office
254,The little girl envied the maid of the princess who,The little girl envied the maids of the hotel who were,who,plural,maid,princess,dresser
255,The little girl envied the princess of the maid who,The little girl envied the princesses of the palace who were,who,plural,princess,maid,hotel
256,The local newspaper columnist wrote about the mascot of the club which,The local newspaper columnist wrote about the mascots of the cheerleader which were,which,plural,mascot,club,cheerleaders
257,The lorry ran over the bicycle of the policeman which   ,The lorry ran over the bicycles of the driver which were,which,plural,bicycle,policeman,driver
258,The maiden was having a look at the wardrobe of the countess which   ,The maiden was having a look at the wardrobes of the groom which were,which,plural,wardrobe,countess,groom
259,The man asked for the apprentices of the builder who,The man asked for the apprentices of the factory who were,who,plural,apprentices,builder,factories
260,The man called to the guide of the travelers who,The man called to the guides of the book who were,who,plural,guide,travelers,book
261,The man collects the wines of the beers  which,The man collects the wines of the tourist which were,which,plural,wines,beers,tourists
262,The man folds the pants of the pullovers  which,The man folds the pants of the toddler which were,which,plural,pants,pullovers,toddlers
263,The man grabs the keys of the phones  which,The man grabs the keys of the driver which were,which,plural,keys,phones,driver
264,The man marks the crates of the boxes  which,The man marks the crates of the model which were,which,plural,crates,boxes,models
265,The man noticed the hairdresser of the singers who,The man noticed the hairdressers of the salon who were,who,plural,hairdresser,singers,salon
266,The man observed the barrister of the criminals who,The man observed the barristers of the office who were,who,plural,barrister,criminals,office
267,The man observed the sergeant of the soldiers who,The man observed the sergeants of the office who were,who,plural,sergeant,soldiers,office
268,The man questioned the guide of the tourist who,The man questioned the guides of the book who were,who,plural,guide,tourist,book
269,The man removes the towels of the bathrobes  which,The man removes the towels of the cleaner which were,which,plural,towels,bathrobes,cleaner
270,The man serves the drinks of the dishes  which,The man serves the drinks of the cook which were,which,plural,drinks,dishes,cook
271,The man smiled at the supervisor of the clerk who,The man smiled at the supervisors of the office who were,who,plural,supervisor,clerk,office
272,The man spoke to the secretary of the manager who,The man spoke to the secretaries of the office who were,who,plural,secretary,manager,office
273,The man washes the scooters of the bicycles  which,The man washes the scooters of the model which were,which,plural,scooters,bicycles,models
274,The mayor talked with the widower of the fisherman who,The mayor talked with the widowers of the mansion who were,who,plural,widower,fisherman,mansion
275,The mechanics were modifying the car of the driver which   ,The mechanics were modifying the cars of the driver which were,which,plural,car,driver,driver
276,The millionaire was shown the house of the pool which,The millionaire was shown the houses of the neighbor which were,which,plural,house,pool,neighbor
277,The newspaper wrote a story about the uncle of the milkman who,The newspaper wrote a story about the uncles of the palace who were,who,plural,uncle,milkman,palace
278,The nurse bumped into the visitor of the patient who,The nurse bumped into the visitors of the hotel who were,who,plural,visitor,patient,hotel
279,The nurse took the syrup of the patient which   ,The nurse took the syrups of the cook which were,which,plural,syrup,patient,cook
280,The nurse trusted the doctor of the teacher who,The nurse trusted the doctors of the hospital who were,who,plural,doctor,teacher,hospital
281,The old lady was observing the toy of the baby which   ,The old lady was observing the toys of the toddler which were,which,plural,toy,baby,toddlers
282,The patient stained with blood the notebook of the doctor which   ,The patient stained with blood the notebooks of the guide which were,which,plural,notebook,doctor,guides
283,The peasant was gazing at the luggage of the wanderer which   ,The peasant was gazing at the luggages of the traveler which were,which,plural,luggage,wanderer,travelers
284,The people watched the box of the soldier which   ,The people watched the boxes of the cleaner which were,which,plural,box,soldier,cleaner
285,The personal manager was observing the secretary of the accountants who,The personal manager was observing the secretaries of the office who were,who,plural,secretary,accountants,office
286,The photographer ignored the ministers of the president who,The photographer ignored the ministers of the conference who were,who,plural,ministers,president,conference
287,The photographer liked the artists of the models who,The photographer liked the artists of the song who were,who,plural,artists,models,songs
288,The pilot was looking at the airport through the window of the plane which,The pilot was looking at the airport through the windows of the doorman which were,which,plural,window,plane,doorman
289,The plumber adjusted the pipe of the sinks which,The plumber adjusted the pipes of the cleaner which were,which,plural,pipe,sinks,cleaner
290,The plumber suggested to us to change the faucet of the sink which,The plumber suggested to us to change the faucets of the cleaner which were,which,plural,faucet,sink,cleaner
291,The police arrested the brother of the porter who,The police arrested the brothers of the house who were,who,plural,brother,porter,house
292,The police arrested the chauffeur of the actor who,The police arrested the chauffeurs of the limousine who were,who,plural,chauffeur,actor,limousine
293,The police arrested the cousin of the painter who,The police arrested the cousins of the house who were,who,plural,cousin,painter,house
294,The police arrested the maiden of the marquis who,The police arrested the maidens of the crown who were,who,plural,maiden,marquis,crown
295,The police arrested the servant of the marquis who,The police arrested the servants of the church who were,who,plural,servant,marquis,church
296,The police arrested the sister of the nurse who,The police arrested the sisters of the house who were,who,plural,sister,nurse,house
298,The policeman arrested the supervisor of the bodyguards who,The policeman arrested the supervisors of the office who were,who,plural,supervisor,bodyguards,office
299,The postman approached the secretary of the manager who,The postman approached the secretaries of the office who were,who,plural,secretary,manager,office
300,The professor frowned at the technician of the physician who,The professor frowned at the technicians of the laboratory who were,who,plural,technician,physician,laboratory
302,The professor read the book of the student which   ,The professor read the books of the author which were,which,plural,book,student,author
303,The professor read the review of the poem which,The professor read the reviews of the guide which were,which,plural,review,poem,guides
304,The publisher hated the executive of the economist who,The publisher hated the executives of the company who were,who,plural,executive,economist,company
305,The publisher rejected the cover of the book which,The publisher rejected the covers of the illustrator which were,which,plural,cover,book,illustrator
306,The publisher smiled at the illustrator of the poet who,The publisher smiled at the illustrators of the sculpture who were,who,plural,illustrator,poet,sculpture
308,The pupil teased the son of the teacher who,The pupil teased the sons of the house who were,who,plural,son,teacher,house
309,The rain wet the hammock of the priest which   ,The rain wet the hammocks of the toddler which were,which,plural,hammock,priest,toddlers
310,The receptionist greeted the client of the lawyers who,The receptionist greeted the clients of the company who were,who,plural,client,lawyers,company
311,The red cross took the luggage of the refugees which   ,The red cross took the luggages of the traveler which were,which,plural,luggage,refugees,travelers
312,The reporter filmed the arms of the rebels which   ,The reporter filmed the arms of the bodyguard which were,which,plural,arms,rebels,bodyguards
313,The reporter phoned the boss of the secretary who,The reporter phoned the bosses of the club who were,who,plural,boss,secretary,club
314,The reporter questioned the coach of the gymnast who,The reporter questioned the coaches of the team who were,who,plural,coach,gymnast,team
315,The reporter watched the lawyers of the criminals who,The reporter watched the lawyers of the office who were,who,plural,lawyers,criminals,office
316,The reporters interviewed the attorney of the defendant who,The reporters interviewed the attorneys of the office who were,who,plural,attorney,defendant,office
317,The restaurant owner motioned to the waitress of the woman who,The restaurant owner motioned to the waitresses of the hotel who were,who,plural,waitress,woman,hotel
318,The rumours accused the brother of the banker who,The rumours accused the brothers of the house who were,who,plural,brother,banker,house
319,The sculptor finished the base of the statue which,The sculptor finished the bases of the mechanic which were,which,plural,base,statue,mechanic
320,The secretary saw the driver of the manager who,The secretary saw the drivers of the motorbike who were,who,plural,driver,manager,motorbikes
321,The servant contemplated the show of the guest which   ,The servant contemplated the shows of the celebrity which were,which,plural,show,guest,celebrity
322,The singer called the sister of the groom who,The singer called the sisters of the house who were,who,plural,sister,groom,house
323,The sponsor met the coach of the player who,The sponsor met the coaches of the team who were,who,plural,coach,player,team
324,The student met the colleague of the professor who,The student met the colleagues of the university who were,who,plural,colleague,professor,university
325,The student photographed the fan of the actress who,The student photographed the fans of the movie who were,who,plural,fan,actress,movie
326,The supplier liked the employee of the gardener who,The supplier liked the employees of the company who were,who,plural,employee,gardener,company
327,The teacher was talking with the relative of the boy who,The teacher was talking with the relatives of the laboratory who were,who,plural,relative,boy,laboratory
328,The teenagers spied on the niece of the teacher who,The teenagers spied on the writers of the poem who were,who,plural,writer,teacher,poem
329,The tenant greeted the grandfather of the caretaker who,The tenant greeted the grandfathers of the house who were,who,plural,grandfather,caretaker,house
330,The terrorists kidnapped the granddaughter of the steward who,The terrorists kidnapped the granddaughters of the house who were,who,plural,granddaughter,steward,house
331,The therapist treated the patient of the nurse who,The therapist treated the patients of the hospital who were,who,plural,patient,nurse,hospital
332,The thief hit the technician of the dentist who,The thief hit the technicians of the laboratory who were,who,plural,technician,dentist,laboratory
333,The thief took the key of the trunks which,The thief took the keys of the guide which were,which,plural,key,trunks,guides
334,The tourist disliked the roof of the church which,The tourist disliked the roofs of the neighbor which were,which,plural,roof,church,neighbor
335,The tourist made a sketch of the grandson of the peasant who,The tourist made a sketches of the grandsons of the house who were,who,plural,grandson,peasant,house
336,The tourist photographed the mule of the peasant who,The tourist photographed the drivers of the motorbike who were,who,plural,driver,peasant,motorbikes
337,The tourists admired the museum of the city which,The tourists admired the museums of the visitor which were,which,plural,museum,city,visitor
338,The visitor toured the garden of the palace which,The visitor toured the gardens of the gardener which were,which,plural,garden,palace,gardener
339,The waiter watched the cousin of the tourist who,The waiter watched the cousins of the house who were,who,plural,cousin,tourist,house
340,The wind blow the canvas of the sailor which   ,The wind blow the canvases of the painter which were,which,plural,canvas,sailor,painter
341,The woman blamed the apprentice of the hairdresser who,The woman blamed the apprentices of the college who were,who,plural,apprentice,hairdresser,college
342,The woman blamed the hairdresser of the apprentices who,The woman blamed the hairdressers of the salon who were,who,plural,hairdresser,apprentices,salon
343,The woman carpenters the shelf of the bedroom which,The woman carpenters the shelves of the cleaner which were,which,plural,shelf,bedroom,cleaner
344,The woman caught the attention of the publicist of the artists who,The woman caught the attention of the publicists of the city who were,who,plural,publicist,artists,city
345,The woman closes the window of the bathroom which,The woman closes the windows of the doorman which were,which,plural,window,bathroom,doorman
346,The woman cuts the rosebush of the garden which,The woman cuts the rosebushes of the gardener which were,which,plural,rosebush,garden,gardener
347,The woman decorates the cabinet of the room which,The woman decorates the cabinets of the minister which were,which,plural,cabinet,room,ministers
348,The woman decorates the lobby of the factory which,The woman decorates the lobbies of the doorman which were,which,plural,lobby,factory,doorman
349,The woman delivers the flowers of the parcels  which,The woman delivers the flowers of the florist which were,which,plural,flowers,parcels,florist
350,The woman disinfects the pillow of the couch which,The woman disinfects the pillows of the toddler which were,which,plural,pillow,couch,toddlers
351,The woman draws the apples of the bananas which,The woman draws the apples of the cook which were,which,plural,apples,bananas,cook
352,The woman dusts the frames of the lamps  which,The woman dusts the frames of the model which were,which,plural,frames,lamps,models
353,The woman empties the register of the shop which,The woman empties the registers of the accountant which were,which,plural,register,shop,accountants
354,The woman engraves the head of the bed which,The woman engraves the heads of the headmaster which were,which,plural,head,bed,headmaster
355,The woman exchanges the bulbs of the lamps which,The woman exchanges the bulb of the cleaner which were,which,plural,bulbs,lamps,cleaner
356,The woman fastens the ropes of the hammocks which,The woman fastens the ropes of the tramp which were,which,plural,ropes,hammocks,tramp
357,The woman feeds the dogs of the cats  which,The woman feeds the dogs of the toddler which were,which,plural,dogs,cats,toddlers
358,The woman films the loudspeakers of the stereo which,The woman films the loudspeakers of the model which were,which,plural,loudspeakers,stereo,models
359,The woman installs the heater of the laundry which,The woman installs the heaters of the cleaner which were,which,plural,heater,laundry,cleaner
360,The woman irons the shirts of the skirts  which,The woman irons the shirts of the cheerleader which were,which,plural,shirts,skirts,cheerleaders
361,The woman knew the photographer of the singer who,The woman knew the photographers of the sculpture who were,who,plural,photographer,singer,sculpture
363,The woman lists the cars of the motorbikes  which,The woman lists the cars of the driver which were,which,plural,cars,motorbikes,driver
364,The woman looked at the supervisor of the clerks who,The woman looked at the supervisors of the office who were,who,plural,supervisor,clerks,office
365,The woman observes the monitor of the computer which,The woman observes the monitors of the detective which were,which,plural,monitor,computer,detectives
366,The woman opens the drawer of the dresser which,The woman opens the drawers of the cleaner which were,which,plural,drawer,dresser,cleaner
367,The woman patches the sleeve of the suit which,The woman patches the sleeves of the groom which were,which,plural,sleeve,suit,groom
368,The woman photographs the statues of the garden  which,The woman photographs the statues of the soldier which were,which,plural,statues,garden,soldiers
369,The woman polishes the knob of the cage which,The woman polishes the knobs of the cleaner which were,which,plural,knob,cage,cleaner
370,The woman presents the mugs of the plates  which,The woman presents the mugs of the toddler which were,which,plural,mugs,plates,toddlers
371,The woman rakes the leafs of the bushes which,The woman rakes the gardens of the colonel which were,which,plural,graden,bushes,colonels
372,The woman removes the leash of the cat which,The woman removes the shirts of the child which were,which,plural,shirt ,cat,child
373,The woman repairs the clocks of the scales  which,The woman repairs the clocks of the model which were,which,plural,clocks,scales,models
374,The woman scratches the roof of the dollhouse which,The woman scratches the roofs of the neighbor which were,which,plural,roof,dollhouse,neighbor
375,The woman searches the showcase of the shelf which,The woman searches the showcases of the celebrity which were,which,plural,showcase,shelf,celebrity
376,The woman shifts the bench of the garage which,The woman shifts the benches of the player which were,which,plural,bench,garage,player
377,The woman smashes the pane of the limousine which,The woman smashes the panes of the driver which were,which,plural,pane,limousine,driver
378,The woman wallpapers the wall of the kitchen which,The woman wallpapers the walls of the doorman which were,which,plural,wall,kitchen,doorman
379,The woman watched the maids of the princess who,The woman watched the maids of the palace who were,who,plural,maids,princess,palace
380,The woman watches the birds of the butterflies  which,The woman watches the birds of the tourist which were,which,plural,birds,butterflies,tourists
381,The woman waters the box of the balcony which,The woman waters the flowers of the cleaner which were,which,plural,flower ,balcony,cleaner
382,The woman waters the plants of the roses  which,The woman waters the plants of the gardener which were,which,plural,plants,roses,gardener
383,The young girl favored the driver of the player who,The young girl favored the drivers of the motorbike who were,who,plural,driver,player,motorbikes
384,The young girl favored the player of the driver who,The young girl favored the players of the team who were,who,plural,player,driver,team
385,The young man noticed the singers of the guitarists who,The young man noticed the singers of the song who were,who,plural,singers,guitarists,songs
386,This afternoon I have seen the nurse of the doctor who,This afternoon I have seen the nurses of the hospital who were,who,plural,nurse,doctor,hospital
387,This afternoon I saw the nurse of the doctor who,This afternoon I saw the nurses of the hospital who were,who,plural,nurse,doctor,hospital
388,This afternoon I saw the son of the doctor who,This afternoon I saw the sons of the house who were,who,plural,son,doctor,house
389,This morning I met the aunt of the mechanic who,This morning I met the aunts of the house who were,who,plural,aunt,mechanic,house
390,Tina knows the doctors of the supermodel who,Tina knows the doctors of the hospital who were,who,plural,doctors,supermodel,hospital
391,Tina met the gardeners of the millionaire who,Tina met the gardeners of the garden who were,who,plural,gardeners,millionaire,garden
392,Tomorrow I have a date with the advisor of the attorney who,Tomorrow I have a date with the advisors of the office who were,who,plural,advisor,attorney,office
393,Tracy chatted with the bodyguards of the celebrity who,Tracy chatted with the bodyguards of the palace who were,who,plural,bodyguards,celebrity,palace
394,We borrowed the car of the neighbor which   ,We borrowed the cars of the driver which were,which,plural,car,neighbor,driver
395,We have to paint the handlebar of the bicycle which,We have to paint the handlebars of the driver which were,which,plural,handlebar,bicycle,driver
396,We were worried about the grandmother of the babysitter who,We were worried about the grandmothers of the house who were,who,plural,grandmother,babysitter,house
397,Yesterday I dropped the tray of the perfume which,Yesterday I dropped the trays of the cook which were,which,plural,tray,perfume,cook
398,Yesterday I met the friend of the councillor who,Yesterday I met the friends of the house who were,who,plural,friend,councillor,house
399,Yesterday I met with the girlfriend of the councillor who,Yesterday I met with the girlfriends of the wedding who were,who,plural,girlfriend,councillor,wedding
400,Yesterday I saw the consultant of the director who,Yesterday I saw the consultants of the company who were,who,plural,consultant,director,company
401,Zack recognized the daughter of the shopkeepers who,Zack recognized the daughters of the house who were,who,plural,daughter,shopkeepers,house
